previous_state,next_state
65013,16512
65013,16513
65013,648
65013,147976
65013,17032
65013,148105
65013,8192
65013,8193
65013,8320
65013,8321
65013,24576
65013,155649
65013,24704
65013,156296
65013,32768
65013,32769
65013,32896
65013,32897
65013,49152
65013,180225
65013,49280
65013,180872
65013,40960
65013,41088
65013,172161
65013,188416
65013,188544
65013,65536
65013,65537
65013,65664
65013,65665
65013,81920
65013,212993
65013,82048
65013,213640
65013,73728
65013,73856
65013,221184
65013,98304
65013,98432
65013,245760
65013,237696
65013,254708
65013,1851392
65013,2089716
1835529,0
1835529,1
1835529,128
1835529,129
1835529,16384
1835529,16385
1835529,16386
1835529,16512
1835529,16513
1835529,648
1835529,147976
1835529,17032
1835529,148105
1835529,8192
1835529,8193
1835529,8320
1835529,8321
1835529,24576
1835529,155649
1835529,24704
1835529,156296
1835529,32768
1835529,32769
1835529,32896
1835529,32897
1835529,49152
1835529,180225
1835529,49280
1835529,180872
1835529,40960
1835529,41088
1835529,172161
1835529,188416
1835529,188544
1835529,65536
1835529,65537
1835529,65664
1835529,65665
1835529,81920
1835529,212993
1835529,82048
1835529,213640
1835529,73728
1835529,73856
1835529,221184
1835529,98304
1835529,98432
1835529,245760
1835529,237696
1835529,254708
1835529,1851392
1835529,2089716
1835765,0
1835765,1
1835765,128
1835765,129
1835765,16384
1835765,16385
1835765,16386
1835765,16512
1835765,16513
1835765,648
1835765,147976
1835765,17032
1835765,148105
1835765,8192
1835765,8193
1835765,8320
1835765,8321
1835765,24576
1835765,155649
1835765,24704
1835765,156296
1835765,32768
1835765,32769
1835765,32896
1835765,32897
1835765,49152
1835765,180225
1835765,49280
1835765,180872
1835765,40960
1835765,41088
1835765,172161
1835765,188416
1835765,188544
1835765,65536
1835765,65537
1835765,65664
1835765,65665
1835765,81920
1835765,212993
1835765,82048
1835765,213640
1835765,73728
1835765,73856
1835765,221184
1835765,98304
1835765,98432
1835765,245760
1835765,237696
1835765,254708
1835765,1851392
1835765,2089716
1850633,0
1850633,1
1850633,128
1850633,129
1850633,16384
1850633,16385
1850633,16386
1850633,16512
1850633,16513
1850633,648
1850633,147976
1850633,17032
1850633,148105
1850633,8192
1850633,8193
1850633,8320
1850633,8321
1850633,24576
1850633,155649
1850633,24704
1850633,156296
1850633,32768
1850633,32769
1850633,32896
1850633,32897
1850633,49152
1850633,180225
1850633,49280
1850633,180872
1850633,40960
1850633,41088
1850633,172161
1850633,188416
1850633,188544
1850633,65536
1850633,65537
1850633,65664
1850633,65665
1850633,81920
1850633,212993
1850633,82048
1850633,213640
1850633,73728
1850633,73856
1850633,221184
1850633,98304
1850633,98432
1850633,245760
1850633,237696
1850633,254708
1850633,1851392
1850633,2089716
1851913,0
1851913,1
1851913,128
1851913,129
1851913,16384
1851913,16385
1851913,16386
1851913,16512
1851913,16513
1851913,648
1851913,147976
1851913,17032
1851913,148105
1851913,8192
1851913,8193
1851913,8320
1851913,8321
1851913,24576
1851913,155649
1851913,24704
1851913,156296
1851913,32768
1851913,32769
1851913,32896
1851913,32897
1851913,49152
1851913,180225
1851913,49280
1851913,180872
1851913,40960
1851913,41088
1851913,172161
1851913,188416
1851913,188544
1851913,65536
1851913,65537
1851913,65664
1851913,65665
1851913,81920
1851913,212993
1851913,82048
1851913,213640
1851913,73728
1851913,73856
1851913,221184
1851913,98304
1851913,98432
1851913,245760
1851913,237696
1851913,254708
1851913,1851392
1851913,2089716
1852148,0
1852148,1
1852148,128
1852148,129
1852148,16384
1852148,16385
1852148,16386
1852148,16512
1852148,16513
1852148,648
1852148,147976
1852148,17032
1852148,148105
1852148,8192
1852148,8193
1852148,8320
1852148,8321
1852148,24576
1852148,155649
1852148,24704
1852148,156296
1852148,32768
1852148,32769
1852148,32896
1852148,32897
1852148,49152
1852148,180225
1852148,49280
1852148,180872
1852148,40960
1852148,41088
1852148,172161
1852148,188416
1852148,188544
1852148,65536
1852148,65537
1852148,65664
1852148,65665
1852148,81920
1852148,212993
1852148,82048
1852148,213640
1852148,73728
1852148,73856
1852148,221184
1852148,98304
1852148,98432
1852148,245760
1852148,237696
1852148,254708
1852148,1851392
1852148,2089716
1852149,0
1852149,1
1852149,128
1852149,129
1852149,16384
1852149,16385
1852149,16386
1852149,16512
1852149,16513
1852149,648
1852149,147976
1852149,17032
1852149,148105
1852149,8192
1852149,8193
1852149,8320
1852149,8321
1852149,24576
1852149,155649
1852149,24704
1852149,156296
1852149,32768
1852149,32769
1852149,32896
1852149,32897
1852149,49152
1852149,180225
1852149,49280
1852149,180872
1852149,40960
1852149,41088
1852149,172161
1852149,188416
1852149,188544
1852149,65536
1852149,65537
1852149,65664
1852149,65665
1852149,81920
1852149,212993
1852149,82048
1852149,213640
1852149,73728
1852149,73856
1852149,221184
1852149,98304
1852149,98432
1852149,245760
1852149,237696
1852149,254708
1852149,1851392
1852149,2089716
1867017,0
1867017,1
1867017,128
1867017,129
1867017,16384
1867017,16385
1867017,16386
1867017,16512
1867017,16513
1867017,648
1867017,147976
1867017,17032
1867017,148105
1867017,8192
1867017,8193
1867017,8320
1867017,8321
1867017,24576
1867017,155649
1867017,24704
1867017,156296
1867017,32768
1867017,32769
1867017,32896
1867017,32897
1867017,49152
1867017,180225
1867017,49280
1867017,180872
1867017,40960
1867017,41088
1867017,172161
1867017,188416
1867017,188544
1867017,65536
1867017,65537
1867017,65664
1867017,65665
1867017,81920
1867017,212993
1867017,82048
1867017,213640
1867017,73728
1867017,73856
1867017,221184
1867017,98304
1867017,98432
1867017,245760
1867017,237696
1867017,254708
1867017,1851392
1867017,2089716
1867252,0
1867252,1
1867252,128
1867252,129
1867252,16384
1867252,16385
1867252,16386
1867252,16512
1867252,16513
1867252,648
1867252,147976
1867252,17032
1867252,148105
1867252,8192
1867252,8193
1867252,8320
1867252,8321
1867252,24576
1867252,155649
1867252,24704
1867252,156296
1867252,32768
1867252,32769
1867252,32896
